RegionName,StateName,Latitude,Longitude
Acampo,California,38.1746398,-121.2785588
Acton,California,34.469994,-118.1967418
Adelanto,California,34.5827699,-117.409215
Adin,California,41.1941359,-120.9442135
Agoura Hills,California,34.1533395,-118.7616764
Agua Dulce,California,34.4963817,-118.3256348
Aguanga,California,33.442702,-116.8651224
Ahwahnee,California,37.3651749,-119.726218
Alameda,California,37.7798721,-122.2821855
Alamo,California,37.8502032,-122.032184
Albany,California,37.886704,-122.2977557
Albion,California,39.2232406,-123.7680598
Alderpoint,California,40.1763525,-123.6122022
Alhambra,California,34.095287,-118.1270146
Aliso Viejo,California,33.5684605,-117.7262981
Alleghany,California,39.4692306,-120.8429926
Alondra Park,California,33.8894595,-118.3309073
Alpaugh,California,35.8877316,-119.4873422
Alpine,California,32.8350521,-116.7664109
Alta,California,39.206736,-120.8114612
Altadena,California,34.190162,-118.1313188
Alturas,California,41.4871146,-120.5424555
Alum Rock,California,37.370829,-121.8206743
Amador City,California,38.4193553,-120.824103
Amboy,California,34.5577721,-115.7444411
American Canyon,California,38.1749178,-122.2608044
Anaheim,California,33.8365932,-117.9143012
Anderson,California,40.448208,-122.2977815
Angelus Oaks,California,34.1458435,-116.9825321
Angwin,California,38.5757402,-122.4499796
Annapolis,California,38.7196855,-123.3677589
Antioch,California,38.0049214,-121.805789
Anza,California,33.5552692,-116.6741822
Apple Valley,California,34.5008311,-117.1858759
Applegate,California,39.0007303,-120.9924431
Aptos,California,36.9771729,-121.8994016
Arbuckle,California,39.0173963,-122.0577477
Arcadia,California,34.1397292,-118.0353449
Arcata,California,40.8665166,-124.0828396
Arden-Arcade,California,38.6008071,-121.3770336
Armona,California,36.3157833,-119.7084642
Arnold,California,38.2554729,-120.3510307
Aromas,California,36.8885646,-121.6430011
Arroyo Grande,California,35.1185868,-120.5907252
Artesia,California,33.8658484,-118.0831212
Arvin,California,35.2017986,-118.833105
Atascadero,California,35.4894169,-120.6707255
Atherton,California,37.4613272,-122.197743
Atwater,California,37.3477174,-120.609084
Auberry,California,37.0807823,-119.4854113
Auburn,California,38.8965654,-121.0768901
August,California,37.9770696,-121.2617471
Avalon,California,33.3428193,-118.3282279
Avenal,California,36.0041223,-120.1290272
Avery,California,38.204363,-120.3699194
Avila Beach,California,35.1800113,-120.7319127
Avocado Heights,California,34.0361217,-117.9911765
Azusa,California,34.1336186,-117.9075627
Badger,California,36.6310707,-119.0133462
Baker,California,35.2675155,-116.0739073
Bakersfield,California,35.3732921,-119.0187125
Baldwin Park,California,34.0852868,-117.9608978
Ballico,California,37.4522617,-120.7018349
Bangor,California,39.3886118,-121.4053135
Banning,California,33.9255713,-116.8764103
Bard,California,32.7892117,-114.5560618
Barstow,California,34.8957957,-117.0172826
Bass Lake,California,37.3366179,-119.5794383
Bayside,California,40.8423507,-124.0636715
Beale AFB,California,39.111504,-121.3598812
Bear Valley,California,38.4646337,-120.0399088
Beaumont,California,33.9294606,-116.977248
Beckwourth,California,39.8201799,-120.3788225
Bell,California,33.9775142,-118.1870156
Bell Canyon,California,34.2058492,-118.6901774
Bell Gardens,California,33.9652918,-118.1514588
Bella Vista,California,40.6315045,-122.2686718
Bellflower,California,33.8816818,-118.1170117
Belmont,California,37.5202145,-122.2758008
Belvedere,California,37.8727044,-122.4644171
Ben Lomond,California,37.0891143,-122.0863528
Benicia,California,38.049365,-122.1585777
Benton,California,37.819099,-118.4765094
Berkeley,California,37.8715226,-122.273042
Berry Creek,California,39.6451637,-121.4032995
Bethel Island,California,38.0149216,-121.6405085
Beverly Hills,California,34.0736204,-118.4003563
Bieber,California,41.1212775,-121.1441396
Big Bar,California,40.7400047,-123.2513523
Big Bear City,California,34.2611183,-116.84503
Big Bear Lake,California,34.2438963,-116.9114215
Big Bend,California,41.0207132,-121.911107
Big Creek,California,37.2048997,-119.2460242
Big Oak Flat,California,37.8617633,-120.1935663
Big Pine,California,37.1649307,-118.289546
Big Sur,California,36.2704233,-121.8080556
Biggs,California,39.4123876,-121.7127513
Biola,California,36.8021676,-120.0162684
Birds Landing,California,38.1328618,-121.8708558
Bishop,California,37.3614238,-118.3996636
Blocksburg,California,40.2759769,-123.6364206
Bloomington,California,34.07029,-117.3958797
Blue Lake,California,40.8829072,-123.9839488
Blythe,California,33.6177725,-114.5882607
Bodega,California,38.3454326,-122.9738259
Bodega Bay,California,38.33325,-123.0480571
Bodfish,California,35.588009,-118.4920303
Bolinas,California,37.9093702,-122.6863733
Bonita,California,32.6583258,-117.0352904
Bonsall,California,33.2889226,-117.2255903
Boonville,California,39.0089749,-123.3671551
Boron,California,34.9994202,-117.6497822
Borrego Springs,California,33.2558717,-116.375012
Boulder Creek,California,37.1260578,-122.1221869
Boulevard,California,32.6636254,-116.2738148
Bradbury,California,34.1469511,-117.9708982
Bradley,California,35.8632993,-120.8007321
Branscomb,California,39.653491,-123.6255723
Brawley,California,32.9786566,-115.530267
Brea,California,33.916475,-117.9002918
Brentwood,California,37.931868,-121.6957863
Bridgeport,California,38.2557045,-119.2313932
Bridgeville,California,40.4694936,-123.7995008
Brisbane,California,37.6807661,-122.3999715
Brooks,California,38.7395726,-122.1484141
Browns Valley,California,39.2421139,-121.4091297
Brownsville,California,39.4732217,-121.2691283
Buellton,California,34.613597,-120.1926505
Buena Park,California,33.8674044,-117.9981387
Buena Vista,California,38.2943745,-120.914119
Burbank,California,34.1808392,-118.3089661
Burbank,California,34.1808392,-118.3089661
Burlingame,California,37.5778696,-122.34809
Burney,California,40.8823811,-121.6608205
Burnt Ranch,California,40.8090268,-123.4742085
Butte City,California,39.4632329,-121.9910564
Buttonwillow,California,35.400517,-119.4695619
Byron,California,37.8671476,-121.6380069
Cabazon,California,33.9175154,-116.7872399
Calabasas,California,34.1367208,-118.6614809
Calexico,California,32.6789476,-115.4988834
Caliente,California,35.2912425,-118.6286669
California City,California,35.125801,-117.9859038
California Hot Springs,California,35.8802168,-118.6766689
Calimesa,California,34.0039039,-117.0619755
Calipatria,California,33.1255957,-115.5141538
Calistoga,California,38.5787965,-122.5797054
Callahan,California,41.3095884,-122.8014177
Calpine,California,39.6662911,-120.4396558
Camarillo,California,34.2163937,-119.0376023
Cambria,California,35.5641381,-121.0807468
Cambrian Park,California,37.2570207,-121.931245
Camino,California,38.738046,-120.6743853
Camp Meeker,California,38.425192,-122.9594422
Campbell,California,37.2871651,-121.9499568
Campo,California,32.6075795,-116.4697321
Campo Seco,California,38.22714,-120.8532709
Camptonville,California,39.4521323,-121.048598
Canby,California,41.4437793,-120.8702442
Cantua Creek,California,36.50134,-120.3162666
Canyon,California,37.8306731,-122.1658805
Canyon Dam,California,40.1718324,-121.0727378
Canyon Lake,California,33.6850215,-117.2730931
Capay,California,38.7082349,-122.0507301
Capitola,California,36.9752283,-121.953293
Carlotta,California,40.537357,-124.0606039
Carlsbad,California,33.1580933,-117.3505939
Carmel Valley,California,36.4799024,-121.7327931
Carmel-by-the-Sea,California,36.5552386,-121.9232879
Carmichael,California,38.617127,-121.3282843
Carnelian Bay,California,39.2268512,-120.0818587
Carpinteria,California,34.3988838,-119.5184564
Carson,California,33.8316745,-118.281693
Caruthers,California,36.5427271,-119.8331965
Casmalia,California,34.8375116,-120.5315174
Caspar,California,39.3649223,-123.8144752
Cassel,California,40.9170121,-121.5571089
Castaic,California,34.4890363,-118.6256552
Castella,California,41.1384854,-122.3177877
Castro Valley,California,37.6955029,-122.0738678
Castroville,California,36.7619511,-121.7517702
Cathedral City,California,33.7805388,-116.4668036
Catheys Valley,California,37.4319861,-120.0985207
Cayucos,California,35.4427511,-120.8921254
Cazadero,California,38.5332335,-123.0852853
Cedarville,California,41.5290606,-120.1732781
Ceres,California,37.5947202,-120.9568815
Cerritos,California,33.8583483,-118.0647871
Challenge,California,39.4856136,-121.2311579
Chester,California,40.3062736,-121.2319098
Chico,California,39.7284944,-121.8374777
Chilcoot,California,39.8010589,-120.1329474
Chino,California,34.0122346,-117.688944
Chino Hills,California,33.9898188,-117.7325848
Chowchilla,California,37.1229997,-120.2601754
Chualar,California,36.5705171,-121.5185514
Chula Vista,California,32.6400541,-117.0841955
Cima,California,35.2377644,-115.4991602
Citrus Heights,California,38.7071247,-121.2810611
Claremont,California,34.0966764,-117.7197785
Clarksburg,California,38.4198403,-121.5294026
Clayton,California,37.9410341,-121.9357925
Clearlake,California,38.9582307,-122.6263728
Clearlake Oaks,California,39.0262841,-122.6719304
Clements,California,38.1909312,-121.0875922
Clio,California,39.7432328,-120.5802171
Clipper Mills,California,39.5326673,-121.1574587
Cloverdale,California,38.8054624,-123.0172227
Clovis,California,36.8252277,-119.7029194
Coachella,California,33.6803003,-116.173894
Coalinga,California,36.139678,-120.3601496
Coarsegold,California,37.2621686,-119.7009834
Cobb,California,38.8334625,-122.720961
Coleville,California,38.5661947,-119.5073942
Colfax,California,39.1007298,-120.9532759
Colma,California,37.6749036,-122.4561533
Colton,California,34.0739016,-117.3136547
Columbia,California,38.0363119,-120.4013061
Colusa,California,39.2143343,-122.0094175
Commerce,California,34.0005691,-118.1597929
Comptche,California,39.2646413,-123.5913484
Compton,California,33.8958492,-118.2200712
Concord,California,37.9779776,-122.0310733
Cool,California,38.8880247,-121.016225
Copperopolis,California,37.9810358,-120.6418716
Corcoran,California,36.098007,-119.5604015
Corning,California,39.9276572,-122.1791556
Corona,California,33.8752935,-117.5664384
Coronado,California,32.6858853,-117.1830891
Costa Mesa,California,33.6638439,-117.9047429
Cotati,California,38.3293416,-122.7096666
Coto de Caza,California,33.5951048,-117.5906715
Cottonwood,California,40.3857087,-122.2808355
Coulterville,California,37.7107484,-120.1972129
Country Club,California,37.9703735,-121.337811
Courtland,California,38.3315337,-121.5701857
Covelo,California,39.7929324,-123.2480687
Covina,California,34.0900091,-117.8903397
Crescent City,California,41.7557501,-124.2025913
Crescent Mills,California,40.0965579,-120.9107882
Cressey,California,37.4210518,-120.666696
Crestline,California,34.2419509,-117.2855993
Creston,California,35.5188572,-120.5236187
Crockett,California,38.0524208,-122.2130236
Crows Landing,California,37.3937203,-121.0720747
Cudahy,California,33.9608646,-118.1857858
Culver City,California,34.0211224,-118.3964665
Cupertino,California,37.3229978,-122.0321823
Cutler,California,36.5232833,-119.2867823
Cypress,California,33.8169366,-118.0368507
Daggett,California,34.8640316,-116.888098
Daly City,California,37.6879241,-122.4702079
Dana Point,California,33.4672256,-117.6981014
Danville,California,37.8215929,-121.9999606
Darwin,California,36.2679969,-117.5917348
Davenport,California,37.0135208,-122.1966597
Davis,California,38.5449065,-121.7405167
Davis Creek,California,41.7332245,-120.3718979
Deer Park,California,38.5326858,-122.4697022
Del Mar,California,32.9594891,-117.2653146
Del Monte Forest,California,36.5863492,-121.9474558
Del Rey,California,36.6591171,-119.593744
Del Rey Oaks,California,36.5932934,-121.8349515
Delano,California,35.7688425,-119.2470536
Delhi,California,37.4321589,-120.7785354
Denair,California,37.526323,-120.7968711
Descanso,California,32.8528287,-116.6158525
Desert Center,California,33.7133313,-115.4004287
Desert Hot Springs,California,33.961124,-116.5016784
Diablo,California,37.8349258,-121.9580149
Diamond Bar,California,34.0286226,-117.8103367
Diamond Springs,California,38.6946259,-120.8149355
Dillon Beach,California,38.2507515,-122.9652768
Dinuba,California,36.5432837,-119.3870656
Discovery Bay,California,37.9085357,-121.6002291
Dixon,California,38.4454641,-121.8232958
Dobbins,California,39.3715576,-121.2060694
Dorris,California,41.9673696,-121.91806
Dos Palos,California,36.9860582,-120.6265722
Dos Rios,California,39.7169901,-123.3533599
Douglas City,California,40.6518023,-122.9438195
Downey,California,33.9401088,-118.1331593
Downieville,California,39.5595198,-120.8276966
Doyle,California,40.0272338,-120.104056
Duarte,California,34.1394513,-117.9772873
Dublin,California,37.7159396,-121.9101221
Ducor,California,35.8916196,-119.047324
Dulzura,California,32.6442247,-116.7814093
Duncans Mills,California,38.453803,-123.0550013
Dunlap,California,36.738281,-119.1209469
Dunsmuir,California,41.2082089,-122.2719529
Durham,California,39.6462733,-121.7999767
Dutch Flat,California,39.2059586,-120.8378103
Eagleville,California,41.3161995,-120.1156498
Earlimart,California,35.8841206,-119.2723328
Earp,California,34.2128639,-114.213787
East Foothills,California,37.3810508,-121.8174533
East Los Angeles,California,34.0224417,-118.1669736
East Palo Alto,California,37.4688273,-122.1410751
East Pasadena,California,34.1382378,-118.0742249
Eastvale,California,33.952463,-117.5848025
Echo Lake,California,38.8337963,-120.0415726
Edison,California,34.0539466,-118.0808098
Edwards,California,34.9236438,-117.93744
