RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
43820,6947,Acampo,City,CA,CA,Stockton-Lodi,San Joaquin County,391208,393974,397049,399781,403282,406000,411095,416175,424647,435145,445751,456227,460616,462272,465375,469860,479468,486418,490691,491191,491331,493810,497501,499830,503373,509943,518464,524704,525518,528541,531713,538026,540850,543967,546489,551776,558641,563991,564861,568057,571764,575837,576810,578809,582797,587369,588376,588433,589038,588650,588515,584949,584201,583031,584516,584400,584519,583456,585119,586480,586674,587913,590878
16677,6402,Acton,City,CA,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,490722,495504,500151,500587,502691,505645,507417,508852,511134,518638,524213,530130,531461,535240,537297,543830,547291,550220,551767,553985,555793,556050,556916,558712,561106,561606,563758,564566,567123,568095,571268,575331,579648,582675,585796,588986,592477,596141,599590,603226,604985,607588,610158,613622,615167,615383,614688,613581,614199,613768,613198,611846,612153,612837,612929,611956,612619,615338,618913,622874,625733,630027,634694
16684,1688,Adelanto,City,CA,CA,Riverside-San Bernardino-Ontario,San Bernardino County,158530,159115,159729,160800,161333,162322,163155,164236,165460,166359,167761,168874,170248,171063,172149,173132,174775,175739,177240,178212,179988,181552,183062,184639,186488,188675,190290,192499,193869,196497,197911,200410,201546,203524,205665,208261,210519,212260,214038,215469,217406,218737,220950,222390,224486,225394,225990,226357,227227,228103,228886,229295,230018,230612,231025,231565,232127,233227,234476,235648,236526,237610,238886
23409,27143,Adin,City,CA,CA,,Modoc County,129106,130510,131469,132588,133468,134491,135893,136573,137203,137025,137652,137924,138471,138870,139348,140088,140971,141986,142191,142583,142646,143173,143273,143773,143782,143739,143691,144072,144590,145141,145878,146747,147613,148161,148654,149215,150128,151050,151506,151923,151979,152018,151339,150711,150355,150455,151035,151226,151463,151330,151372,151307,151186,151212,151805,152246,152535,152549,152282,152199,151994,152081,152240
9840,2432,Agoura Hills,City,CA,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,736297,741361,746267,749132,752353,754995,757599,760056,762240,765073,767927,773700,777343,780986,782575,787843,789584,792550,792601,796022,800498,805811,807708,807481,809409,810728,813629,816088,823732,830232,838506,844695,850007,853621,859876,867070,872444,878287,882309,885174,883620,881998,880552,879009,877121,876733,876524,874638,874807,871651,870315,866999,866835,867941,868897,870595,873245,875955,878563,882980,886973,894164,901397
16691,11060,Agua Dulce,City,CA,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,560978,563009,565606,568290,571116,576186,578024,581108,582463,588630,591672,597042,601107,606589,610277,615456,619133,621239,622558,625772,630821,635055,636440,636835,637784,637834,640387,642503,646674,647492,650283,655407,661017,664644,669499,674773,679156,682643,684258,687163,684659,684507,684300,686593,690341,693248,695874,694503,693996,692961,693265,692392,694742,697899,700515,699878,697882,697885,698607,702647,706725,712109,717205
43832,11322,Aguanga,City,CA,CA,Riverside-San Bernardino-Ontario,Riverside County,278578,279739,281078,283936,285015,286046,285312,286127,287468,289440,290533,292602,294612,297346,299807,301622,304469,307339,309055,309948,309140,311255,312689,314219,314553,315082,316244,317860,319891,322716,328058,334156,340463,343151,345745,348722,353584,358672,363976,367403,370111,371243,370272,368443,366834,367649,370326,371827,373775,373803,374387,375549,377120,378888,380987,383215,385247,386393,386064,386158,384987,384900,383901
3333,12131,Ahwahnee,City,CA,CA,Madera,Madera County,266925,266639,265780,264691,264129,265739,267938,270566,271309,271006,269203,269004,271391,274158,276757,276919,276902,275372,276063,277421,279651,280618,282417,283703,284899,285748,287077,289390,291712,294661,296491,298734,300842,305404,309285,311923,312377,314277,317552,321249,323584,325105,324738,324500,324200,324579,324901,325792,326232,326104,324766,324169,323829,324308,326355,328045,329859,330384,331351,332780,335855,338989,342575
16697,722,Alameda,City,CA,CA,San Francisco-Oakland-Hayward,Alameda County,748257,752785,762856,773932,783288,791995,802838,815678,830851,839855,843978,848940,858160,869104,871060,873980,878549,884973,887595,888841,888256,894017,901536,907444,910891,913343,922348,927712,932158,939894,950859,959588,970459,976935,987507,999609,1011658,1019483,1022870,1028992,1034820,1035927,1028781,1025432,1019162,1022302,1022514,1015763,1004963,1000975,1004559,1009856,1011129,1013821,1021820,1028408,1036488,1038658,1041012,1048666,1060344,1069283,1074046
30145,3366,Alamo,City,CA,CA,San Francisco-Oakland-Hayward,Contra Costa County,1812819,1827257,1843074,1863195,1880668,1884555,1885747,1881717,1886540,1891270,1898125,1897828,1899950,1889938,1884288,1878434,1876455,1876878,1879235,1889835,1894351,1902234,1908194,1914821,1915029,1931386,1943324,1961167,1966474,1971831,1976629,1993094,2010039,2017494,2021197,2027036,2053294,2071965,2086806,2080237,2083466,2090758,2097036,2090674,2093379,2095338,2093875,2080430,2067245,2050144,2037950,2034494,2031930,2026173,2021383,2019205,2011719,2009137,2011991,2023590,2027861,2036857,2045878
37073,3011,Albany,City,CA,CA,San Francisco-Oakland-Hayward,Alameda County,748448,755442,767599,781086,794806,805284,816728,828281,842499,851647,855807,862192,868485,877590,877315,880892,884142,888390,884078,881845,876939,884963,892255,900963,904117,905903,915299,919317,926222,936882,956532,970590,986697,993158,1007093,1017497,1032372,1043856,1052927,1061406,1067815,1069706,1064776,1059622,1052137,1050563,1045319,1034731,1022140,1017686,1016107,1017954,1014470,1013660,1015159,1019251,1024750,1028243,1031500,1040730,1051281,1058211,1063782
8334,22820,Albion,City,CA,CA,Ukiah,Mendocino County,555160,556889,559640,562582,564914,566352,563413,561915,560843,563475,564242,565597,567665,569991,573022,575044,577445,579615,580794,581443,580658,581231,582464,583667,585221,587723,591213,594765,598071,601365,603761,604884,606151,609905,613803,617333,617387,617535,619327,623546,627171,629003,630356,632940,635232,635072,637681,640081,642563,641445,636778,632352,627099,623822,621353,618430,615813,613226,608268,603419,599831,598506,598616
30157,28550,Alderpoint,City,CA,CA,Eureka-Arcata-Fortuna,Humboldt County,285352,282423,279553,279151,283780,288571,288014,282592,276456,276560,281228,285530,286406,282148,279286,278582,281583,286488,292188,298715,306248,308403,311172,313855,323924,335023,344629,352347,353632,355207,361735,374029,382914,389374,389695,396215,402603,413589,421952,422207,419850,412977,406030,396980,390449,387679,388366,385202,379214,376075,372343,373818,373730,378772,380853,380824,379569,377339,374578,371437,368552,361015,354706
